A,B,C,G,R,X6,X8
10,636.45,589.8,82.22,740,25.6757,0.1746
10,641.12,589.8,82.22,584,39.5548,0.1386
9,659.55,609.8,81.11,417,46.5228,0.2116
9,653.65,589.8,81.11,410,51.2195,0.2086
10,631.09,579.81,82.22,589,50.2547,0.2067
9,632.01,579.81,84.54,312,27.2436,0.1406
8,634.9,569.81,84.54,532,13.9098,0.14
10,631.53,569.81,85.74,323,40.2477,0.1377
7,656.14,599.8,82.22,435,26.6667,0.1386
7,680.01,629.79,80.03,451,87.5831,0.1401
9,699.28,639.79,77.95,642,42.5234,0.1395
9,671.2,619.79,77.95,657,21.309,0.1419
9,656.6,599.8,81.11,544,26.2868,0.1385
10,671.87,599.8,81.11,605,20.0,0.1731
10,657.22,599.8,83.36,375,53.3333,0.1415
10,676.2,599.8,75.97,790,39.3671,0.1408
8,704.16,639.79,75.97,1205,17.4274,0.2078
7,701.02,639.79,78.97,705,28.7943,0.214
10,667.92,569.81,80.03,695,43.0216,0.1393
9,636.9,569.81,80.03,537,57.7281,0.1396
11,639.79,579.81,80.03,569,56.239,0.1389
12,662.57,589.8,77.95,632,14.8734,0.2106
11,695.87,599.8,75.97,1527,24.2305,0.1402
11,715.01,639.79,75.97,641,48.6739,0.1399
11,696.84,619.79,76.95,948,45.4641,0.245
10,669.31,589.8,80.03,652,73.773,0.1737
9,654.9,589.8,82.22,687,27.802,0.142
9,663.03,599.8,83.36,562,53.9146,0.1754
11,681.24,629.79,81.11,441,58.9569,0.179
11,681.68,599.8,78.97,718,63.9276,0.1746
9,681.97,599.8,78.97,581,63.8554,0.1431
9,699.28,629.79,77.95,576,59.375,0.1395
7,698.79,629.79,77.95,643,43.8569,0.1396
10,674.54,589.8,80.03,970,27.3196,0.1765
11,626.53,569.81,82.22,361,39.3352,0.2429
11,597.93,549.82,89.58,360,38.8889,0.1742
9,593.07,539.82,89.58,581,14.4578,0.1721
9,607.51,539.82,86.99,547,21.2066,0.1715
8,622.4,549.82,86.99,592,16.2162,0.1397
8,620.01,569.81,88.26,210,27.1429,0.1403
9,618.71,569.81,85.74,431,17.1694,0.1405
9,634.01,569.81,85.74,331,34.139,0.1753
7,629.14,569.81,85.74,299,37.1237,0.1382
9,615.75,569.81,90.94,185,48.1081,0.1382
8,623.05,559.81,88.26,375,30.4,0.2094
9,613.2,559.81,88.26,396,29.2929,0.1388
9,618.73,559.81,88.26,364,29.3956,0.1719
9,640.01,579.81,83.36,591,31.4721,0.1736
10,641.38,579.81,83.36,404,46.7822,0.1417
8,664.89,559.81,44.13,15011,90.1472,0.1749
11,673.96,559.81,44.13,16133,85.0369,0.1725
12,652.96,589.8,81.11,508,74.2126,0.174
11,644.56,589.8,83.36,524,45.6107,0.1763
9,638.9,569.81,85.74,431,25.9861,0.313
10,614.58,539.82,86.99,213,67.1362,0.2122
11,608.95,539.82,81.11,342,30.7018,0.1398
9,665.36,469.84,76.95,1732,77.1363,0.2796
10,718.01,429.86,58.84,3183,75.3377,0.1741
12,736.33,429.86,58.84,2421,66.8319,0.3574
9,716.01,589.8,70.61,2399,25.8441,0.1746
9,741.59,589.8,72.31,1931,27.2398,0.1774
8,791.13,689.77,68.99,991,90.6155,0.1404
8,779.18,679.77,68.99,1326,65.7617,0.1426
8,754.61,639.79,68.2,1322,49.9244,0.1791
8,765.69,639.79,69.79,627,50.8772,0.1412
8,772.45,679.77,70.61,770,29.2208,0.14
8,749.22,689.77,71.45,726,61.157,0.1405
8,743.09,629.79,73.2,709,72.2144,0.138
8,756.59,629.79,69.79,740,59.5946,0.1391
8,767.31,689.77,69.79,631,49.9208,0.1409
11,724.12,599.8,72.31,1207,49.1301,0.1771
9,714.89,579.81,69.79,1193,19.6982,0.1793
9,767.04,619.79,69.79,1545,25.2427,0.1409
9,749.75,629.79,70.61,1678,26.6985,0.1755
11,745.28,629.79,71.45,1283,39.205,0.1766
10,742.32,679.77,75.03,550,82.9091,0.2073
10,700.5,619.79,76.95,1075,62.2326,0.2089
9,678.58,619.79,77.95,486,41.9753,0.1404
8,711.01,629.79,69.79,1756,34.3964,0.21100000000000002
8,776.69,639.79,66.69,2455,47.8615,0.1431
8,823.25,729.76,66.69,846,65.3664,0.1429
9,811.16,729.76,66.69,1326,65.6863,0.1761
7,778.12,649.78,68.99,1820,43.2967,0.1737
7,762.72,649.78,68.99,1547,42.7279,0.1417
7,762.72,679.77,69.79,830,64.2169,0.1772
9,743.7,669.78,74.1,783,22.3499,0.2123
8,752.99,669.78,74.1,506,31.8182,0.32299999999999995
9,734.37,659.78,74.1,543,26.151,0.3142
8,715.4,659.78,77.95,423,49.6454,0.1434
7,751.07,679.77,68.99,1246,58.6677,0.1752
8,775.42,679.77,68.99,1466,48.9086,0.2091
8,735.02,629.79,71.45,910,53.2967,0.179
8,729.5,629.79,71.45,945,34.3915,0.1406
8,724.37,649.78,75.03,644,35.8696,0.2124
9,724.76,649.78,72.31,740,44.3243,0.207
7,736.42,659.78,72.31,702,63.5328,0.1741
9,719.5,649.78,72.31,724,48.3425,0.1782
9,721.51,649.78,76.95,773,35.1876,0.2079
9,735.4,649.78,75.97,960,23.5417,0.1395
10,720.02,629.79,75.97,844,29.9763,0.1425
10,703.27,629.79,76.95,561,32.6203,0.1777
8,720.51,659.78,76.95,520,59.8077,0.1735
8,745.28,669.78,71.45,1089,40.2204,0.1766
7,771.36,659.78,68.99,1398,57.1531,0.1402
7,750.01,589.8,68.99,3508,18.5861,0.1404
8,757.91,589.8,69.79,3493,15.6885,0.2083
7,760.01,659.78,71.45,1093,47.0265,0.1385
7,754.07,659.78,71.45,751,47.9361,0.1434
7,734.37,639.79,71.45,901,28.7458,0.1397
