A,B,C,G,R,X6,X8
25,651.83,589.8,84.54,151,48.3444,0.1395
27,635.79,589.8,90.94,60,43.3333,0.3495
27,643.92,369.88,86.99,141,29.7872,0.135
26,648.19,609.8,86.99,212,54.2453,0.1753
23,622.35,579.81,88.26,200,62.5,0.2393
22,639.34,569.81,78.97,255,51.7647,0.139
24,702.27,589.8,61.24,663,50.3771,0.2848
21,718.22,649.78,61.24,2181,30.6282,0.1428
18,690.23,359.88,74.1,951,21.9769,0.1348
23,678.38,619.79,80.03,446,42.1525,0.1371
23,687.21,359.88,58.84,2696,46.5134,0.1354
25,676.05,359.88,58.84,2657,45.4272,0.1376
24,649.56,569.81,84.54,538,27.5093,0.14
21,618.49,549.82,84.54,616,6.4935,0.3163
18,611.29,549.82,90.94,462,14.0693,0.2785
17,621.97,589.8,90.94,161,13.0435,0.1398
24,609.58,559.81,92.34,50,38.0,0.2792
29,590.62,559.81,96.81,107,15.8879,0.1382
25,592.46,549.82,85.74,635,9.2913,0.1378
20,580.21,539.82,85.74,609,14.7783,0.1724
16,567.07,539.82,95.27,199,34.1709,0.1383
18,581.85,539.82,89.58,405,17.7778,0.1403
19,582.21,549.82,89.58,384,14.0625,0.1718
20,603.55,549.82,51.74,5454,64.1731,0.1381
26,607.71,549.82,90.94,268,57.4627,0.1371
27,615.66,579.81,92.34,59,47.4576,0.1766
24,622.13,369.88,92.34,79,73.4177,0.171
24,621.31,589.8,89.58,198,32.3232,0.3149
24,632.56,389.87,83.36,559,25.2236,0.3027
20,674.19,619.79,82.22,282,25.8865,0.3449
17,682.87,649.78,82.22,183,24.0437,0.1395
16,684.53,649.78,78.97,215,65.1163,0.3478
18,683.11,639.79,78.97,143,77.6224,0.1394
22,662.51,509.83,85.74,261,71.6475,0.2401
23,661.6,509.83,84.54,364,60.1648,0.2405
25,671.17,619.79,77.95,550,45.6364,0.1386
25,660.48,599.8,77.95,560,29.4643,0.1408
27,642.45,599.8,85.74,112,36.6071,0.2421
27,641.34,619.79,89.58,45,57.7778,0.1733
24,636.68,579.81,90.94,144,65.9722,0.1396
25,630.22,569.81,77.95,578,68.5121,0.138
25,638.05,369.88,77.95,708,54.661,0.2044
27,646.38,589.8,86.99,170,32.3529,0.2461
26,634.01,589.8,86.99,145,44.1379,0.2103
26,647.34,609.8,85.74,144,41.6667,0.20600000000000002
26,663.96,619.79,85.74,140,58.5714,0.3503
25,641.79,589.8,85.74,144,46.5278,0.3463
26,629.36,589.8,88.26,177,25.9887,0.1382
27,656.83,589.8,83.36,155,49.0323,0.1384
25,671.37,359.88,81.11,304,47.3684,0.1354
25,691.23,649.78,78.97,340,43.5294,0.1411
25,689.77,649.78,80.03,312,56.0897,0.2829
25,669.78,629.79,83.36,203,59.6059,0.3472
26,642.01,599.8,84.54,158,55.6962,0.1731
27,629.79,599.8,89.58,65,38.4615,0.2761
26,646.01,599.8,86.99,144,38.1944,0.1376
27,662.34,599.8,82.22,201,25.8706,0.1404
26,670.47,599.8,78.97,247,57.8947,0.1387
26,648.42,599.8,78.97,198,62.6263,0.2804
28,623.49,599.8,84.54,123,39.0244,0.1743
28,608.95,569.81,92.34,89,47.191,0.3145
24,595.52,559.81,92.34,203,46.798,0.1714
22,601.67,559.81,92.34,158,25.3165,0.3116
24,630.23,559.81,89.58,66,28.7879,0.3173
26,636.01,609.8,89.58,51,33.3333,0.3494
24,629.57,609.8,89.58,80,26.25,0.2417
21,637.12,609.8,89.58,101,33.6634,0.2442
21,631.53,559.81,88.26,592,23.9865,0.1721
22,603.34,549.82,88.26,472,59.7458,0.1381
21,619.16,549.82,84.54,461,41.8655,0.1375
22,659.78,619.79,78.97,646,22.6006,0.2467
22,687.87,599.8,57.71,3798,81.2006,0.1385
22,667.68,579.81,57.71,2897,76.3203,0.1742
23,660.94,579.81,75.03,739,52.9093,0.1407
25,664.32,609.8,75.03,311,52.4116,0.1711
27,637.4,369.88,88.26,146,52.7397,0.1364
22,659.78,599.8,70.61,1097,62.5342,0.2067
18,671.44,349.88,70.61,2493,75.6117,0.1418
15,682.63,349.88,80.03,175,75.4286,0.2442
19,698.06,649.78,44.46,9846,72.8722,0.2446
24,683.11,599.8,44.46,12888,63.4699,0.2091
26,641.31,369.88,78.97,493,49.4929,0.2034
23,664.66,599.8,82.22,281,76.1566,0.1749
23,695.87,669.78,82.22,103,72.8155,0.1402
22,696.6,659.78,81.11,78,65.3846,0.1401
20,685.96,659.78,81.11,121,52.8926,0.1388
23,678.61,639.79,72.31,806,50.4963,0.1371
23,681.17,639.79,72.31,786,62.4682,0.1366
24,694.29,649.78,80.03,281,82.2064,0.1715
24,690.72,629.79,80.03,320,65.0,0.2758
24,654.33,579.81,82.22,334,43.7126,0.1389
24,664.55,379.87,75.03,1148,46.1672,0.2394
22,720.51,649.78,75.03,611,67.2668,0.2776
24,722.01,689.77,80.03,85,56.4706,0.3463
25,713.76,689.77,77.95,150,18.6667,0.3503
24,715.01,689.77,77.95,190,15.2632,0.3497
23,701.72,589.8,80.03,453,15.894,0.139
17,634.23,569.81,82.22,376,25.0,0.2102
17,628.7,569.81,82.22,144,34.0278,0.242
25,673.03,599.8,81.11,286,40.9091,0.1382
25,684.06,659.78,81.11,112,47.3214,0.1392
24,670.47,619.79,83.36,116,16.3793,0.1387
23,640.23,579.81,83.36,542,22.3247,0.1388
24,640.45,579.81,85.74,344,52.0349,0.1735
26,692.15,629.79,76.95,384,63.2812,0.3096
24,714.51,659.78,76.95,301,74.4186,0.2799
25,690.5,629.79,80.03,260,58.0769,0.1766
25,668.61,609.8,82.22,530,44.9057,0.1739
26,642.01,589.8,84.54,174,59.1954,0.1731
25,643.34,589.8,84.54,208,79.8077,0.2763
26,644.79,599.8,84.54,182,90.1099,0.141
25,636.68,599.8,89.58,132,87.1212,0.1745
23,666.29,469.84,62.52,2673,70.4078,0.3141
24,684.3,469.84,62.52,4457,59.6365,0.3132
23,661.6,599.8,80.03,553,33.6347,0.2748
23,670.71,619.79,60.63,1919,59.9792,0.1387
21,681.44,619.79,60.63,2210,62.3077,0.1398
18,666.29,619.79,80.03,302,42.053000000000004,0.1396
16,636.23,569.81,83.36,181,12.7072,0.3493
15,646.45,569.81,83.36,306,23.5294,0.1375
14,665.13,639.79,83.36,181,32.0442,0.1399
15,622.4,499.83,89.58,408,31.3725,0.3493
18,563.15,369.88,92.34,235,77.0213,0.2786
19,568.63,369.88,81.11,1289,24.4375,0.2759
19,601.71,539.82,81.11,1332,6.7568,0.2475
20,610.43,569.81,92.34,122,46.7213,0.2788
16,621.49,579.81,88.26,168,28.5714,0.2739
14,631.75,559.81,86.99,411,21.1679,0.3097
14,637.57,559.81,83.36,801,24.5943,0.1394
15,649.34,569.81,80.03,928,51.4009,0.1369
14,660.71,589.8,75.03,837,56.8698,0.1408
10,663.27,599.8,75.03,579,69.9482,0.3156
11,624.79,319.89,84.54,976,74.5902,0.2784
12,627.4,319.89,81.11,1455,54.433,0.2772
11,665.59,609.8,63.85,2255,62.2616,0.1398
14,647.51,589.8,63.85,1934,71.4581,0.1404
13,619.79,579.81,86.99,316,29.7468,0.2455
12,628.49,579.81,86.99,260,48.8462,0.2075
10,622.18,569.81,90.94,86,26.7442,0.3494
14,631.12,569.81,81.11,281,46.6192,0.3521
14,661.64,609.8,81.11,593,43.339,0.2109
13,651.83,609.8,81.11,288,25.3472,0.1395
15,637.12,599.8,89.58,113,56.6372,0.3488
18,626.01,569.81,89.58,265,30.9434,0.3195
19,632.83,569.81,85.74,448,29.4643,0.3092
21,659.78,619.79,85.74,203,52.7094,0.3525
17,656.6,609.8,85.74,230,24.3478,0.3461
10,658.42,619.79,86.99,118,55.9322,0.2761
10,639.29,559.81,86.99,131,74.8092,0.2346
14,621.19,559.81,90.94,107,62.6168,0.2246
20,630.46,589.8,89.58,186,56.9892,0.141
17,633.12,589.8,89.58,178,60.6742,0.1755
12,622.18,599.8,90.94,103,44.6602,0.1747
10,633.57,599.8,88.26,89,39.3258,0.3508
11,633.34,599.8,88.26,78,41.0256,0.3509
14,616.53,579.81,90.94,91,40.6593,0.1763
18,614.9,579.81,90.94,91,39.5604,0.17300000000000001
17,613.84,579.81,92.34,106,30.1887,0.1386
13,622.23,579.81,85.74,113,92.9204,0.1568
10,641.74,599.8,85.74,132,72.7273,0.152
