A,B,C,G,R,X6,X8,Class
6,860.62,809.73,65.24,573,88.1326,0.2113,A
7,871.58,789.74,64.54,849,84.8057,0.2151,A
6,854.87,789.74,64.54,687,90.5386,0.2127,A
7,823.73,759.75,68.2,475,86.1053,0.2081,A
6,823.44,759.75,68.2,424,87.0283,0.2429,A
6,825.02,749.75,67.44,646,76.935,0.2139,A
10,763.63,579.81,50.44,10334,33.414,0.1819,A
11,792.09,499.83,40.01,31298,69.5827,0.2971,A
9,752.25,529.82,46.89,15586,74.0408,0.1846,A
7,659.78,599.8,80.03,1031,74.6848,0.2467,A
8,635.12,589.8,84.54,454,63.4361,0.2099,A
9,641.38,599.8,86.99,441,57.8231,0.2126,A
8,653.65,589.8,80.03,544,72.6103,0.2434,A
8,673.03,589.8,80.03,512,72.8516,0.2073,A
11,679.54,619.79,80.03,416,84.8558,0.2102,A
9,685.25,609.8,75.97,683,74.5242,0.1737,A
8,689.77,549.82,44.79,10291,51.89,0.2602,A
9,711.65,319.89,40.28,40108,71.6391,0.3038,A
9,771.09,319.89,40.28,57133,79.1522,0.3155,A
9,807.45,329.89,38.47,45238,92.3803,0.2477,A
12,801.73,329.89,38.47,46133,79.3098,0.1782,A
11,780.28,349.88,44.79,16431,82.6304,0.1732,A
9,813.44,439.85,44.79,20412,86.2238,0.1756,A
10,845.85,699.77,62.52,1445,82.7682,0.1144,A
10,808.7,679.77,61.24,2653,52.4689,0.1706,A
10,772.87,389.87,42.57,15487,57.9389,0.1617,A
11,815.04,439.85,42.57,15249,90.3076,0.1534,A
10,811.95,439.85,49.2,3318,83.906,0.1368,A
9,847.46,389.87,40.28,35297,82.1033,0.1903,A
9,837.85,389.87,42.27,19650,88.7684,0.3357,A
9,863.05,379.87,38.23,20844,43.7296,0.316,A
8,799.73,379.87,38.23,19579,52.8781,0.2858,A
7,741.33,659.78,72.31,1599,45.0907,0.142,A
9,762.99,679.77,72.31,937,65.5283,0.1417,A
8,776.77,429.86,43.81,23101,69.3823,0.1392,A
9,788.07,409.86,43.81,23662,67.1963,0.141,A
10,755.03,369.88,41.97,13351,58.1529,0.1472,A
11,745.86,349.88,41.97,37358,67.8034,0.298,A
8,740.54,349.88,43.81,20100,85.8209,0.3554,A
9,730.53,659.78,68.2,1483,65.4754,0.1755,A
10,762.38,669.78,68.2,944,44.0678,0.1381,A
9,730.27,639.79,73.2,813,32.5953,0.2458,A
10,732.83,639.79,70.61,1264,42.6424,0.14,A
9,757.12,649.78,70.61,1294,18.3153,0.1738,A
8,750.8,659.78,72.31,490,46.7347,0.3155,A
7,762.99,659.78,70.61,1101,36.6031,0.1417,A
6,760.02,689.77,70.61,1140,50.9649,0.1422,A
8,743.44,689.77,72.31,1276,34.0125,0.1416,A
9,770.28,679.77,39.49,14494,56.8649,0.1404,A
10,738.22,649.78,39.49,15159,55.43899999999999,0.1737,A
9,747.32,649.78,68.2,1501,29.3138,0.1808,A
9,771.9,649.78,68.2,3185,9.9843,0.1401,A
10,717.71,629.79,71.45,1269,23.3255,0.1429,A
8,714.76,629.79,75.03,1316,26.9757,0.1749,A
9,752.64,509.83,58.84,1852,67.0626,0.2098,A
8,780.3,509.83,58.84,2173,67.1882,0.35600000000000004,A
9,777.58,679.77,69.79,867,47.6355,0.139,A
10,769.74,669.78,68.99,1558,29.7818,0.1444,A
7,762.18,669.78,68.99,1579,28.0557,0.1418,A
7,855.78,689.77,59.43,3148,36.1817,0.2125,A
6,914.86,819.73,59.43,1188,76.0943,0.2116,A
5,864.09,799.73,61.88,1147,84.1325,0.217,A
6,854.56,799.73,65.24,750,86.0,0.2128,A
6,853.05,739.75,64.54,1387,64.3836,0.2131,A
8,846.5,609.8,64.54,2329,59.5105,0.1688,A
8,836.62,609.8,64.54,2236,56.8873,0.1649,A
6,854.56,779.74,64.54,635,76.8504,0.1773,A
7,896.26,829.72,63.85,634,92.429,0.2092,A
6,780.02,579.81,63.85,2041,41.6952,0.2137,A
6,746.07,579.81,63.85,1357,46.9418,0.1764,A
7,875.02,709.76,61.88,1557,69.1073,0.1786,A
6,938.69,859.71,60.02,1099,89.8999,0.1776,A
5,943.35,879.71,60.02,763,86.8938,0.212,A
6,938.69,869.71,60.02,939,80.8307,0.2131,A
7,936.02,859.71,60.02,688,93.8953,0.1781,A
7,923.03,859.71,61.24,534,91.0112,0.1806,A
6,909.05,859.71,63.18,476,89.4958,0.2129,A
6,878.14,729.76,63.18,1078,72.3562,0.1779,A
7,811.16,679.77,63.85,1915,42.4021,0.2113,A
8,762.18,669.78,68.2,925,23.4595,0.2128,A
7,816.2,669.78,65.96,1419,30.7259,0.1802,A
8,878.46,829.72,64.54,609,72.9064,0.2134,A
8,885.33,839.72,64.54,550,74.1818,0.2118,A
7,878.14,819.73,65.24,487,84.8049,0.2135,A
7,848.25,719.76,65.24,1245,68.3534,0.20800000000000002,A
6,848.54,719.76,64.54,1472,63.7908,0.20800000000000002,A
7,879.39,779.74,64.54,846,67.3759,0.1777,A
8,882.52,829.72,64.54,532,80.8271,0.1771,A
7,881.89,799.73,64.54,428,77.1028,0.1772,A
7,842.14,719.76,65.96,832,52.0433,0.1799,A
6,822.96,719.76,67.44,905,55.9116,0.14300000000000002,A
7,797.79,679.77,67.44,700,63.1429,0.2089,A
9,666.06,529.82,71.45,2687,19.5385,0.1746,A
9,623.92,529.82,82.22,532,43.797,0.3136,A
10,674.89,329.89,73.2,2576,50.9705,0.2412,A
10,715.51,329.89,68.2,3433,56.9473,0.2446,A
8,772.72,639.79,67.44,884,59.7285,0.1749,A
9,782.52,649.78,67.44,2212,18.7613,0.142,A
8,807.45,689.77,66.69,1051,41.6746,0.1415,A
8,845.01,549.82,48.4,12879,87.3204,0.2785,A
10,789.43,339.89,48.4,22269,93.7312,0.2687,A
10,758.86,339.89,48.8,5296,99.2447,0.155,A
7,799.43,689.77,38.97,16536,71.0571,0.1516,A
12,583.07,309.9,38.97,24933,48.5581,0.1864,A
19,507.51,309.9,55.57,15970,92.0038,0.3167,A
13,598.92,309.9,55.57,23460,62.728,0.2947,A
8,727.18,629.79,65.24,3008,37.1676,0.1331,A
9,647.97,499.83,52.19,12016,74.4591,0.2105,A
9,653.04,499.83,52.19,6579,71.637,0.2849,A
10,695.87,639.79,76.95,779,47.7535,0.1753,A
10,696.35,629.79,76.95,1264,28.2437,0.1751,A
9,713.51,419.86,54.56,3674,48.0131,0.2453,A
11,711.23,419.86,54.56,3984,42.746,0.3429,A
8,690.26,609.8,73.2,1467,14.9966,0.1767,A
7,668.59,589.8,78.97,608,35.8553,0.2493,A
9,655.92,589.8,84.54,327,31.8043,0.2079,A
9,645.47,589.8,84.54,144,35.4167,0.2465,A
8,634.46,589.8,84.54,315,42.2222,0.1401,A
10,636.45,589.8,82.22,740,25.6757,0.1746,B
10,641.12,589.8,82.22,584,39.5548,0.1386,B
9,659.55,609.8,81.11,417,46.5228,0.2116,B
9,653.65,589.8,81.11,410,51.2195,0.2086,B
10,631.09,579.81,82.22,589,50.2547,0.2067,B
9,632.01,579.81,84.54,312,27.2436,0.1406,B
8,634.9,569.81,84.54,532,13.9098,0.14,B
10,631.53,569.81,85.74,323,40.2477,0.1377,B
7,656.14,599.8,82.22,435,26.6667,0.1386,B
7,680.01,629.79,80.03,451,87.5831,0.1401,B
9,699.28,639.79,77.95,642,42.5234,0.1395,B
9,671.2,619.79,77.95,657,21.309,0.1419,B
9,656.6,599.8,81.11,544,26.2868,0.1385,B
10,671.87,599.8,81.11,605,20.0,0.1731,B
10,657.22,599.8,83.36,375,53.3333,0.1415,B
10,676.2,599.8,75.97,790,39.3671,0.1408,B
8,704.16,639.79,75.97,1205,17.4274,0.2078,B
7,701.02,639.79,78.97,705,28.7943,0.214,B
10,667.92,569.81,80.03,695,43.0216,0.1393,B
9,636.9,569.81,80.03,537,57.7281,0.1396,B
11,639.79,579.81,80.03,569,56.239,0.1389,B
12,662.57,589.8,77.95,632,14.8734,0.2106,B
11,695.87,599.8,75.97,1527,24.2305,0.1402,B
11,715.01,639.79,75.97,641,48.6739,0.1399,B
11,696.84,619.79,76.95,948,45.4641,0.245,B
10,669.31,589.8,80.03,652,73.773,0.1737,B
9,654.9,589.8,82.22,687,27.802,0.142,B
9,663.03,599.8,83.36,562,53.9146,0.1754,B
11,681.24,629.79,81.11,441,58.9569,0.179,B
11,681.68,599.8,78.97,718,63.9276,0.1746,B
9,681.97,599.8,78.97,581,63.8554,0.1431,B
9,699.28,629.79,77.95,576,59.375,0.1395,B
7,698.79,629.79,77.95,643,43.8569,0.1396,B
10,674.54,589.8,80.03,970,27.3196,0.1765,B
11,626.53,569.81,82.22,361,39.3352,0.2429,B
11,597.93,549.82,89.58,360,38.8889,0.1742,B
9,593.07,539.82,89.58,581,14.4578,0.1721,B
9,607.51,539.82,86.99,547,21.2066,0.1715,B
8,622.4,549.82,86.99,592,16.2162,0.1397,B
8,620.01,569.81,88.26,210,27.1429,0.1403,B
9,618.71,569.81,85.74,431,17.1694,0.1405,B
9,634.01,569.81,85.74,331,34.139,0.1753,B
7,629.14,569.81,85.74,299,37.1237,0.1382,B
9,615.75,569.81,90.94,185,48.1081,0.1382,B
8,623.05,559.81,88.26,375,30.4,0.2094,B
9,613.2,559.81,88.26,396,29.2929,0.1388,B
9,618.73,559.81,88.26,364,29.3956,0.1719,B
9,640.01,579.81,83.36,591,31.4721,0.1736,B
10,641.38,579.81,83.36,404,46.7822,0.1417,B
8,664.89,559.81,44.13,15011,90.1472,0.1749,B
11,673.96,559.81,44.13,16133,85.0369,0.1725,B
12,652.96,589.8,81.11,508,74.2126,0.174,B
11,644.56,589.8,83.36,524,45.6107,0.1763,B
9,638.9,569.81,85.74,431,25.9861,0.313,B
10,614.58,539.82,86.99,213,67.1362,0.2122,B
11,608.95,539.82,81.11,342,30.7018,0.1398,B
9,665.36,469.84,76.95,1732,77.1363,0.2796,B
10,718.01,429.86,58.84,3183,75.3377,0.1741,B
12,736.33,429.86,58.84,2421,66.8319,0.3574,B
9,716.01,589.8,70.61,2399,25.8441,0.1746,B
9,741.59,589.8,72.31,1931,27.2398,0.1774,B
8,791.13,689.77,68.99,991,90.6155,0.1404,B
8,779.18,679.77,68.99,1326,65.7617,0.1426,B
8,754.61,639.79,68.2,1322,49.9244,0.1791,B
8,765.69,639.79,69.79,627,50.8772,0.1412,B
8,772.45,679.77,70.61,770,29.2208,0.14,B
8,749.22,689.77,71.45,726,61.157,0.1405,B
8,743.09,629.79,73.2,709,72.2144,0.138,B
8,756.59,629.79,69.79,740,59.5946,0.1391,B
8,767.31,689.77,69.79,631,49.9208,0.1409,B
11,724.12,599.8,72.31,1207,49.1301,0.1771,B
9,714.89,579.81,69.79,1193,19.6982,0.1793,B
9,767.04,619.79,69.79,1545,25.2427,0.1409,B
9,749.75,629.79,70.61,1678,26.6985,0.1755,B
11,745.28,629.79,71.45,1283,39.205,0.1766,B
10,742.32,679.77,75.03,550,82.9091,0.2073,B
10,700.5,619.79,76.95,1075,62.2326,0.2089,B
9,678.58,619.79,77.95,486,41.9753,0.1404,B
8,711.01,629.79,69.79,1756,34.3964,0.21100000000000002,B
8,776.69,639.79,66.69,2455,47.8615,0.1431,B
8,823.25,729.76,66.69,846,65.3664,0.1429,B
9,811.16,729.76,66.69,1326,65.6863,0.1761,B
7,778.12,649.78,68.99,1820,43.2967,0.1737,B
7,762.72,649.78,68.99,1547,42.7279,0.1417,B
7,762.72,679.77,69.79,830,64.2169,0.1772,B
9,743.7,669.78,74.1,783,22.3499,0.2123,B
8,752.99,669.78,74.1,506,31.8182,0.32299999999999995,B
9,734.37,659.78,74.1,543,26.151,0.3142,B
8,715.4,659.78,77.95,423,49.6454,0.1434,B
7,751.07,679.77,68.99,1246,58.6677,0.1752,B
8,775.42,679.77,68.99,1466,48.9086,0.2091,B
8,735.02,629.79,71.45,910,53.2967,0.179,B
8,729.5,629.79,71.45,945,34.3915,0.1406,B
8,724.37,649.78,75.03,644,35.8696,0.2124,B
9,724.76,649.78,72.31,740,44.3243,0.207,B
7,736.42,659.78,72.31,702,63.5328,0.1741,B
9,719.5,649.78,72.31,724,48.3425,0.1782,B
9,721.51,649.78,76.95,773,35.1876,0.2079,B
9,735.4,649.78,75.97,960,23.5417,0.1395,B
10,720.02,629.79,75.97,844,29.9763,0.1425,B
10,703.27,629.79,76.95,561,32.6203,0.1777,B
8,720.51,659.78,76.95,520,59.8077,0.1735,B
8,745.28,669.78,71.45,1089,40.2204,0.1766,B
7,771.36,659.78,68.99,1398,57.1531,0.1402,B
7,750.01,589.8,68.99,3508,18.5861,0.1404,B
8,757.91,589.8,69.79,3493,15.6885,0.2083,B
7,760.01,659.78,71.45,1093,47.0265,0.1385,B
7,754.07,659.78,71.45,751,47.9361,0.1434,B
7,734.37,639.79,71.45,901,28.7458,0.1397,B
7,714.01,589.8,72.31,3004,13.2823,0.1401,B
7,786.96,589.8,66.69,2746,52.4399,0.1412,B
6,835.02,749.75,66.69,1031,69.8351,0.1409,B
6,790.85,689.77,66.69,894,67.8971,0.1405,B
8,760.8,669.78,71.45,1218,57.9639,0.17300000000000001,B
10,796.4,699.77,67.44,814,78.0098,0.1395,B
8,818.26,749.75,67.44,492,89.0244,0.1438,B
8,816.87,739.75,68.2,681,70.0441,0.1749,B
7,746.16,629.79,68.2,806,91.9355,0.1375,B
9,706.26,629.79,75.03,579,61.3126,0.177,B
7,760.83,669.78,70.61,949,64.9104,0.1421,B
8,799.18,739.75,70.61,679,73.0486,0.1738,B
8,796.12,729.76,68.2,1139,54.6971,0.1745,B
7,771.96,659.78,70.61,869,46.3751,0.1439,B
8,773.8,659.78,68.99,841,66.7063,0.1397,B
7,778.93,709.76,68.99,1004,92.0319,0.1735,B
7,780.02,729.76,72.31,434,91.2442,0.1425,B
8,760.02,689.77,73.2,509,54.224,0.1422,B
8,732.32,679.77,75.03,407,56.0197,0.1751,B
7,764.61,679.77,67.44,1544,44.3653,0.1414,B
7,784.74,669.78,67.44,1123,71.2378,0.177,B
7,761.33,669.78,71.45,978,33.7423,0.1728,B
9,735.65,639.79,71.45,807,62.8253,0.1743,B
8,720.27,639.79,75.03,892,77.13,0.17800000000000002,B
7,737.19,689.77,75.03,526,73.384,0.1391,B
8,726.42,639.79,75.03,823,22.2357,0.1412,B
8,751.85,639.79,72.31,858,57.1096,0.14,B
7,785.5,719.76,66.69,843,57.5326,0.1157,B
7,849.72,739.75,64.54,936,64.3162,0.1898,B
7,893.9,839.72,64.54,654,89.7554,0.2165,B
8,745.8,549.82,63.85,3683,20.9612,0.1764,B
10,553.15,399.87,69.79,3152,95.5584,0.319,B
11,487.34,399.87,69.79,4299,87.1365,0.2394,B
11,482.67,419.86,71.45,1379,88.76,0.2762,B
11,514.06,419.86,57.16,4258,61.2964,0.1496,B
12,556.62,479.84,92.34,393,32.3155,0.3058,B
12,595.52,519.83,85.74,1062,24.8588,0.2742,B
11,583.48,329.89,43.18,17951,91.9893,0.1749,B
8,586.34,329.89,43.18,17117,89.9223,0.174,B
10,639.79,509.83,43.81,25294,56.4047,0.1489,B
10,727.33,419.86,40.55,66691,71.5269,0.25,B
9,775.37,419.86,41.39,17383,84.3986,0.2418,B
11,790.01,369.88,65.96,3099,80.9939,0.1758,B
12,805.79,369.88,37.99,28925,87.0043,0.2633,B
10,788.22,409.86,39.23,22922,57.1765,0.1538,B
9,714.76,559.81,39.23,1545,58.123000000000005,0.1841,B
7,811.73,579.81,62.52,3189,33.2079,0.2112,B
7,910.99,829.72,62.52,900,55.4444,0.2125,B
7,875.33,809.73,62.52,591,74.6193,0.1785,B
6,849.41,809.73,67.44,496,82.2581,0.1784,B
7,864.56,809.73,65.24,545,75.7798,0.2103,B
6,857.21,809.73,65.24,613,56.4437,0.1823,B
7,810.3,689.77,67.44,1380,48.5507,0.1763,B
7,811.2,689.77,65.96,1380,40.1449,0.1813,B
7,848.2,779.74,65.96,1027,37.1957,0.1786,B
6,841.19,779.74,66.69,535,82.0561,0.1748,B
7,832.66,719.76,65.96,1180,61.6949,0.1766,B
7,802.59,669.78,65.96,1165,37.6824,0.1424,B
7,835.02,669.78,64.54,1957,53.7046,0.1761,B
7,875.96,819.73,63.85,627,78.4689,0.1784,B
7,883.77,819.73,63.85,716,66.7598,0.2122,B
7,863.05,749.75,64.54,838,50.5967,0.2107,B
8,837.07,719.76,65.96,942,62.4204,0.1757,B
5,862.74,779.74,65.24,943,61.5058,0.1756,B
6,872.21,819.73,65.24,705,79.7163,0.1791,B
7,874.4,829.72,65.24,540,89.4444,0.1787,B
6,889.39,829.72,64.54,489,92.229,0.2108,B
6,887.83,829.72,64.54,404,92.5743,0.2112,B
7,804.3,629.79,65.24,883,47.4519,0.2842,B
7,770.28,629.79,65.24,1625,28.2462,0.2456,B
7,812.3,699.77,65.24,1448,38.605,0.21100000000000002,B
6,860.93,739.75,63.18,1177,62.0221,0.17600000000000002,B
6,881.27,739.75,60.63,1779,32.6588,0.1418,B
7,880.64,709.76,60.63,2311,41.3674,0.2129,B
8,859.71,709.76,61.24,1948,38.9117,0.2115,B
7,883.9,799.73,62.52,974,81.5195,0.21899999999999997,B
8,926.69,839.72,60.02,1056,72.6326,0.1799,B
6,937.35,849.72,60.02,786,87.4046,0.1778,B
6,934.69,849.72,58.84,1022,86.0078,0.214,B
7,934.36,849.72,58.84,1526,95.675,0.2141,B
7,922.6,849.72,60.02,990,95.1515,0.2098,B
7,881.83,739.75,61.88,1647,48.9982,0.2062,B
7,814.3,709.76,63.85,1257,58.7908,0.1754,B
8,767.04,639.79,70.61,1377,31.4452,0.2114,B
8,784.6,639.79,61.88,2615,20.1147,0.1821,B
6,890.95,699.77,60.63,2567,37.9431,0.1754,B
6,895.64,739.75,60.63,1871,50.7215,0.1745,B
6,833.84,689.77,62.52,2658,33.5967,0.1764,B
7,817.73,689.77,65.24,1658,41.4355,0.1747,B
6,846.08,769.74,65.24,1058,75.8979,0.1791,B
7,873.15,829.72,64.54,316,85.443,0.2147,B
6,883.14,829.72,64.54,433,93.7644,0.1769,B
7,880.33,829.72,64.54,583,90.7376,0.1775,B
7,880.64,829.72,64.54,504,96.0317,0.1774,B
8,885.64,819.73,63.18,848,73.1132,0.2117,B
7,885.33,759.75,63.18,1029,69.3878,0.1765,B
7,850.32,719.76,63.85,1106,33.906,0.1782,B
7,848.54,759.75,66.69,682,69.5015,0.1733,B
6,861.23,809.73,65.24,522,87.931,0.1759,B
7,879.71,819.73,65.24,603,84.0796,0.1776,B
7,876.27,809.73,65.24,611,92.14399999999999,0.1783,B
8,863.35,799.73,65.96,521,85.6046,0.2106,B
6,870.96,799.73,65.24,427,75.1756,0.2153,B
6,890.03,839.72,63.18,715,76.0839,0.1812,B
7,892.2,839.72,63.18,733,52.6603,0.2102,B
7,885.33,809.73,62.52,795,65.6604,0.2118,B
7,870.65,809.73,62.52,1186,58.4317,0.2154,B
7,860.93,809.73,65.24,961,89.8023,0.17600000000000002,B
6,853.24,789.74,65.24,954,89.5178,0.1724,B
7,853.96,789.74,65.96,848,73.5849,0.2129,B
7,852.44,769.74,66.69,810,79.2593,0.2133,B
7,748.43,599.8,68.2,1389,30.0936,0.1406,B
6,766.97,599.8,62.52,2151,21.8968,0.1449,B
